joyful
tenderness
helpless
defeated
rageful
cheerful
sympathy
powerless
bored
outraged
content
adoration
dreading
rejected
hostile
proud
fondness
distrusting
disillusioned
bitter
satisfied
receptive
suspicious
inferior
hateful
excited
interested
cautious
confused
scornful
amused
delighted
disturbed
grief-stricken
spiteful
elated
shocked
overwhelmed
helpless
vengeful
enthusiastic
exhilarated
uncomfortable
isolated
disliked
optimistic
dismayed
guilty
numb
resentful
elated
amazed
hurt
regretful
trusting
delighted
confused
lonely
ambivalent
alienated
calm
stunned
melancholy
exhausted
bitter
relaxed
interested
depressed
insecure
insulted
relieved
intrigued
hopeless
disgusted
indifferent
hopeful
absorbed
sad
pity
pleased
curious
guilty
revulsion
confident
anticipating
hurt
contempt
brave
eager
lonely
weary
comfortable
hesitant
regretful
bored
safe
fearful
depressed
preoccupied
happy
anxious
hopeless
angry
love
worried
sorrow
jealous
lust
scared
uncertain
envious
aroused
insecure
anguished
annoyed
tender
rejected
disappointed
humiliated
compassionate
horrified
self conscious
irritated
caring
alarmed
shamed
aggravated
infatuated
shocked
embarrassed
restless
concern
panicked
humiliated
grumpy
trust
afraid
disgraced
awkward
liking
nervous
uncomfortable
exasperated
attraction
disoriented
neglected
frustrated
